airline_name,sum,count,rate,ci_low,ci_high,p,p_adj,differs_from_average
Air Koryo,35,45,0.7777777777777778,0.637307078252437,0.874553144673736,9.263132016503245e-09,5.4696589049828686e-08,True
ANA All Nippon Airways,78,100,0.78,0.689296464850142,0.849987176153946,1.8549963816909666e-18,7.667318377655995e-17,True
Mahan Air,24,30,0.8,0.6269430358685175,0.9049489282271013,5.67892498227599e-07,2.3870735518719415e-06,True
NIKI,33,41,0.8048780487804879,0.6598641481293658,0.8976556261484198,3.0038806350327032e-09,1.9101599935592574e-08,True
QantasLink,80,99,0.8080808080808081,0.7195963938569909,0.8735496067880852,1.0384029045409702e-20,6.438098008154015e-19,True
Cathay Dragon,51,62,0.8225806451612904,0.7095843311430363,0.8979356223399493,2.6289063886358464e-14,5.015144495243768e-13,True
Hainan Airlines,87,100,0.87,0.7901964855992356,0.9224283257275949,5.5023396919644706e-27,6.822901218035944e-25,True
BA CityFlyer,62,71,0.8732394366197183,0.7763089172134625,0.9318547241043516,8.315820630430081e-20,4.12464703269332e-18,True
Lao Airlines,65,72,0.9027777777777778,0.8126495420487314,0.9521036800263443,1.6253642623089572e-22,1.3436344568420712e-20,True
China Southern Airlines,97,99,0.9797979797979798,0.9293096883284993,0.9944422798892423,1.0777680814880472e-41,2.672864842090357e-39,True
